iter	Logloss
0	0.6228100431
1	0.5655029218
2	0.5221523556
3	0.4866664479
4	0.4590779816
5	0.4359302593
6	0.4170078605
7	0.4019724493
8	0.3896373478
9	0.3793664147
10	0.3715693421
11	0.3649572329
12	0.3599559316
13	0.3551925248
14	0.3514159091
15	0.3475630866
16	0.3449536151
17	0.3429038073
18	0.3403485243
19	0.3382584365
20	0.336433043
21	0.3349827246
22	0.3337334188
23	0.3327264304
24	0.3317819444
25	0.3310135477
26	0.3302691103
27	0.3294491735
28	0.3287067566
29	0.3282071294
30	0.3277119756
31	0.3273653818
32	0.327067018
33	0.3266434431
34	0.3262514969
35	0.3258477207
36	0.3255853391
37	0.325259985
38	0.3249239683
39	0.3246800975
40	0.3244741719
41	0.3242630797
42	0.3240449409
43	0.3238432383
44	0.3236660859
45	0.3234801441
46	0.3232896753
47	0.3231577254
48	0.323019506
49	0.3228534181
50	0.3226571484
51	0.3225330634
52	0.3224094331
53	0.3222796409
54	0.3222214315
55	0.3220948917
56	0.3219541376
57	0.3218320972
58	0.321744502
59	0.3216429293
60	0.3215618902
61	0.3214723958
62	0.3213855361
63	0.3212974239
64	0.3211879129
65	0.3210925525
66	0.3210111086
67	0.32091415
68	0.3208273573
69	0.3207588123
70	0.3206529765
71	0.3205831166
72	0.3205124464
73	0.3204382804
74	0.3203712476
75	0.3202967254
76	0.3202155493
77	0.3201155114
78	0.3200662476
79	0.3200051084
80	0.3199391866
81	0.3198668496
82	0.3197834871
83	0.3197345039
84	0.3196712521
85	0.3196006185
86	0.3195137814
87	0.3194528623
88	0.3193714804
89	0.31931421
90	0.3192572548
91	0.3192007578
92	0.3191401125
93	0.3190862081
94	0.3190303182
95	0.3189732914
96	0.3189096838
97	0.3188685111
98	0.3188134409
99	0.3187727097
100	0.3187212753
101	0.3186701862
102	0.3186424007
103	0.318585775
104	0.3185348672
105	0.318465716
106	0.318418437
107	0.3183576349
108	0.3182894421
109	0.318247429
110	0.3182021905
111	0.3181511137
112	0.3181090887
113	0.3180636122
114	0.3180153548
115	0.3179605022
116	0.3179197656
117	0.3178672453
118	0.3178010574
119	0.3177553056
120	0.3176884275
121	0.3176387898
122	0.3176026145
123	0.3175286359
124	0.3174746629
125	0.3174316338
126	0.3173687098
127	0.3173250641
128	0.3172798769
129	0.3172365226
130	0.3171936815
131	0.3171443638
132	0.3171031957
133	0.3170504102
134	0.3170124315
135	0.3169772016
136	0.3169197904
137	0.3168712464
138	0.3167978394
139	0.3167364778
140	0.3166814492
141	0.3166366242
142	0.3165830601
143	0.3165384339
144	0.3164898939
145	0.3164358007
146	0.3163870207
147	0.3163551976
148	0.316312398
149	0.3162599645
150	0.3162030413
151	0.3161471924
152	0.3161061453
153	0.3160481315
154	0.315997513
155	0.3159481978
156	0.3159021955
157	0.3158594155
158	0.3158142813
159	0.3157610108
160	0.3157000671
161	0.3156414473
162	0.3155959425
163	0.3155442206
164	0.3154983654
165	0.3154530853
166	0.3154040935
167	0.3153470511
168	0.3152987515
169	0.3152446907
170	0.3151944092
171	0.3151448758
172	0.3150914923
173	0.3150594245
174	0.3150154538
175	0.3149532509
176	0.3148971558
177	0.3148473193
178	0.314793948
179	0.3147469432
180	0.3147067756
181	0.3146705819
182	0.3146177717
183	0.3145709601
184	0.3145130687
185	0.3144657785
186	0.3144250904
187	0.3143724707
188	0.314330234
189	0.3142907946
190	0.3142462358
191	0.314208246
192	0.3141535011
193	0.3141010887
194	0.3140492433
195	0.3139943379
196	0.3139463125
197	0.3139007521
198	0.3138619109
199	0.3138132012
200	0.3137710342
201	0.3137319205
202	0.3136736234
203	0.3136339533
204	0.3135763281
205	0.3135264146
206	0.3134826068
207	0.3134424573
208	0.3133931318
209	0.3133566689
210	0.3133092427
211	0.3132599012
212	0.3132126795
213	0.3131735409
214	0.3131180787
215	0.3130820791
216	0.3130432895
217	0.3129950502
218	0.3129603213
219	0.3129061387
220	0.3128639582
221	0.3128294987
222	0.3127905678
223	0.3127594113
224	0.3127009606
225	0.3126601456
226	0.3126145157
227	0.3125718319
228	0.3125232163
229	0.31247714
230	0.3124376495
231	0.3123949944
232	0.3123486086
233	0.3122869198
234	0.3122415311
235	0.3121955105
236	0.3121566624
237	0.3121154098
238	0.3120665587
239	0.3120273012
240	0.3119795032
241	0.3119273997
242	0.3118826262
243	0.3118445879
244	0.3118184672
245	0.311750232
246	0.3116997402
247	0.3116516739
248	0.3116132586
249	0.311575748
250	0.3115260017
251	0.3114936478
252	0.311455307
253	0.3114135205
254	0.3113772686
255	0.3113233794
256	0.3112774984
257	0.3112497082
258	0.3112078855
259	0.3111610554
260	0.311134073
261	0.3110796216
262	0.3110551481
263	0.3110033257
264	0.3109630108
265	0.3109203142
266	0.3108796178
267	0.3108239348
268	0.3107822698
269	0.3107316031
270	0.3106900307
271	0.3106545415
272	0.3106217738
273	0.3105704039
274	0.3105397956
275	0.3104904346
276	0.3104493906
277	0.3104088743
278	0.3103722808
279	0.3103333367
280	0.3102990355
281	0.3102615552
282	0.3102103942
283	0.3101737438
284	0.3101427932
285	0.3101142748
286	0.3100561579
287	0.3100255198
288	0.3099855942
289	0.3099518153
290	0.3099123147
291	0.3098841231
292	0.309845154
293	0.3098010764
294	0.3097525292
295	0.3097158248
296	0.3096731629
297	0.30962524
298	0.3095866176
299	0.3095632541
300	0.3095416679
301	0.3095031843
302	0.3094657504
303	0.3094235062
304	0.3093883291
305	0.3093501631
306	0.3093047112
307	0.3092522355
308	0.3092073545
309	0.3091711411
310	0.309132553
311	0.3090947435
312	0.3090657936
313	0.3090198539
314	0.3089824834
315	0.3089509108
316	0.3089156521
317	0.3088856295
318	0.3088429912
319	0.3088062082
320	0.3087739533
321	0.3087347134
322	0.3087147305
323	0.3086778414
324	0.3086358301
325	0.3085843545
326	0.3085304989
327	0.3084967231
328	0.308443049
329	0.308398315
330	0.3083548365
331	0.308320443
332	0.3082756408
333	0.3082512618
334	0.3082075585
335	0.3081713562
336	0.3081399285
337	0.3080916836
338	0.3080465676
339	0.3080052997
340	0.3079727921
341	0.3079345854
342	0.3078939325
343	0.3078529851
344	0.3078174925
345	0.3077760261
346	0.3077319812
347	0.3076873702
348	0.3076442457
349	0.307613347
350	0.3075750242
351	0.3075369004
352	0.3075024798
353	0.3074628583
354	0.3074262808
355	0.3073796221
356	0.307343026
357	0.3073139076
358	0.3072843791
359	0.3072402686
360	0.3072074821
361	0.3071707452
362	0.307133539
363	0.3070990372
364	0.307068062
365	0.3070274475
366	0.3070039805
367	0.3069561588
368	0.3069187531
369	0.3068910961
370	0.3068730931
371	0.3068353367
372	0.3067970563
373	0.3067535663
374	0.3067153467
375	0.3066723998
376	0.3066312657
377	0.3065761103
378	0.3065293068
379	0.3064952275
380	0.3064700217
381	0.3064290433
382	0.306394442
383	0.306365008
384	0.3063294885
385	0.3062843454
386	0.3062570556
387	0.3062299816
388	0.3061930773
389	0.3061599579
390	0.3061103024
391	0.3060739023
392	0.3060296425
393	0.306000349
394	0.305965922
395	0.3059230064
396	0.3058958878
397	0.3058650145
398	0.3058289771
399	0.3057685896
400	0.3057411611
401	0.3057164094
402	0.3056811469
403	0.3056487906
404	0.3056170103
405	0.3055949851
406	0.3055510115
407	0.305500399
408	0.3054662855
409	0.3054389304
410	0.3053916624
411	0.3053548993
412	0.3053111389
413	0.3052699502
414	0.3052401994
415	0.3052021063
416	0.3051553105
417	0.3051163184
418	0.305084526
419	0.3050539997
420	0.3050353102
421	0.3050046059
422	0.3049701423
423	0.3049374077
424	0.304895849
425	0.3048661442
426	0.3048420441
427	0.3048061393
428	0.3047738222
429	0.3047457046
430	0.3046880875
431	0.3046519413
432	0.3046106677
433	0.3045760608
434	0.3045534797
435	0.3045078295
436	0.3044567847
437	0.3044224282
438	0.3043888964
439	0.3043464746
440	0.3043058215
441	0.3042676031
442	0.3042319275
443	0.3042146573
444	0.3041754299
445	0.3041477257
446	0.3041243136
447	0.3040849248
448	0.3040573139
449	0.3040239987
450	0.3039837298
451	0.3039576594
452	0.3039343354
453	0.3038868899
454	0.3038540027
455	0.3038255897
456	0.3037919398
457	0.3037659992
458	0.3037300287
459	0.3036957732
460	0.3036664429
461	0.3036203618
462	0.3035816205
463	0.3035525963
464	0.3035193446
465	0.3034901309
466	0.3034505979
467	0.3034102581
468	0.3033686836
469	0.3033318837
470	0.3032941751
471	0.3032620334
472	0.3032206266
473	0.3031883274
474	0.3031473022
475	0.3031217372
476	0.3030824792
477	0.3030431627
478	0.3030098529
479	0.3029820869
480	0.3029520269
481	0.3029318778
482	0.302905992
483	0.302873682
484	0.3028383347
485	0.3027997117
486	0.3027668226
487	0.3027217289
488	0.3026912052
489	0.3026614065
490	0.3026327519
491	0.3026026369
492	0.3025555997
493	0.3025104661
494	0.3024887061
495	0.302463794
496	0.3024454876
497	0.3024206485
498	0.302391098
499	0.3023602667
500	0.3023282979
501	0.3022765394
502	0.3022543658
503	0.3022069011
504	0.3021749137
505	0.3021459212
506	0.3021123308
507	0.3020673063
508	0.302042661
509	0.3020088522
510	0.3019689316
511	0.3019421665
512	0.3019081203
513	0.3018846586
514	0.3018465942
515	0.3018171384
516	0.3017855492
517	0.3017428997
518	0.3017166337
519	0.3016933413
520	0.3016580176
521	0.3016364058
522	0.3015951169
523	0.3015717201
524	0.3015368636
525	0.3015054046
526	0.3014713298
527	0.3014423038
528	0.3014101231
529	0.3013711175
530	0.3013473425
531	0.3013233807
532	0.3013015537
533	0.3012613992
534	0.3012206045
535	0.3011937287
536	0.3011790401
537	0.3011425921
538	0.3011157668
539	0.3010797171
540	0.3010339274
541	0.3009920637
542	0.3009539909
543	0.3009237614
544	0.3008977413
545	0.3008551495
546	0.3008191806
547	0.3007797298
548	0.3007439153
549	0.3007095825
550	0.3006794262
551	0.3006477294
552	0.3006115241
553	0.300571024
554	0.3005329152
555	0.3005092353
556	0.3004651515
557	0.3004487027
558	0.3004257995
559	0.3003919066
560	0.3003589789
561	0.3003401873
562	0.3003174318
563	0.3002734463
564	0.30025265
565	0.3002320144
566	0.3001978746
