iter	Passed	Remaining
389	14136	22111
390	14169	22070
391	14207	22036
392	14240	21995
393	14275	21957
394	14309	21917
395	14343	21878
396	14396	21867
397	14435	21834
398	14470	21797
399	14506	21759
400	14541	21721
401	14573	21679
402	14607	21639
403	14642	21600
404	14675	21560
405	14708	21519
406	14743	21480
407	14777	21441
408	14812	21403
409	14844	21362
410	14877	21321
411	14911	21281
412	14950	21249
413	14987	21213
414	15021	21174
415	15055	21135
416	15089	21096
417	15121	21054
418	15155	21014
419	15190	20977
420	15223	20936
421	15257	20898
422	15290	20857
423	15323	20817
424	15352	20771
425	15385	20730
426	15418	20690
427	15451	20650
428	15491	20619
429	15525	20580
430	15559	20541
431	15594	20503
432	15628	20464
433	15661	20425
434	15695	20386
435	15729	20346
436	15765	20310
437	15798	20271
438	15831	20231
439	15867	20195
440	15903	20158
441	15936	20118
442	15971	20081
443	16009	20047
444	16046	20013
445	16080	19974
446	16116	19938
447	16149	19898
448	16184	19861
449	16217	19821
450	16252	19783
451	16286	19745
452	16318	19704
453	16352	19666
454	16385	19626
455	16422	19592
456	16462	19560
457	16501	19527
458	16544	19500
459	16581	19465
460	16616	19427
461	16653	19392
462	16688	19355
463	16721	19316
464	16755	19277
465	16791	19241
466	16830	19208
467	16867	19174
468	16910	19145
469	16958	19123
470	17012	19107
471	17064	19089
472	17123	19078
473	17163	19046
474	17205	19017
475	17241	18979
476	17278	18944
477	17314	18908
478	17352	18873
479	17390	18839
480	17427	18804
481	17465	18769
482	17503	18735
483	17542	18702
484	17580	18667
485	17622	18637
486	17657	18600
487	17699	18569
488	17736	18534
489	17771	18497
490	17808	18461
491	17852	18433
492	17899	18407
493	17940	18376
494	17986	18349
495	18023	18314
496	18060	18278
497	18099	18244
498	18139	18212
499	18175	18175
500	18212	18140
501	18247	18102
502	18284	18066
503	18322	18032
504	18356	17993
505	18391	17955
506	18427	17918
507	18461	17880
508	18498	17844
509	18535	17808
510	18581	17781
511	18630	17757
512	18683	17736
513	18730	17709
514	18772	17678
515	18807	17641
516	18843	17604
517	18879	17567
518	18913	17528
519	18945	17488
520	18978	17448
521	19013	17410
522	19048	17372
523	19080	17332
524	19114	17293
525	19148	17255
526	19191	17225
527	19228	17189
528	19262	17150
529	19298	17113
530	19331	17074
531	19365	17035
532	19398	16996
533	19432	16957
534	19467	16920
535	19506	16885
536	19541	16848
537	19580	16814
538	19617	16778
539	19652	16740
540	19693	16708
541	19730	16672
542	19772	16641
543	19815	16610
544	19864	16583
545	19910	16555
546	19954	16525
547	19990	16488
548	20026	16451
549	20060	16413
550	20095	16375
551	20134	16340
552	20175	16308
553	20217	16276
554	20271	16253
555	20320	16227
556	20368	16199
557	20408	16165
558	20441	16126
559	20476	16088
560	20509	16049
561	20542	16009
562	20574	15970
563	20610	15932
564	20642	15893
565	20679	15856
566	20717	15821
567	20761	15790
568	20798	15754
569	20834	15716
570	20868	15678
571	20903	15641
572	20937	15602
573	20978	15569
574	21036	15548
575	21080	15517
576	21120	15483
577	21165	15453
578	21204	15418
579	21246	15385
580	21292	15355
581	21337	15324
582	21382	15294
583	21423	15260
584	21473	15233
585	21520	15204
586	21564	15172
587	21605	15138
588	21653	15109
589	21715	15090
590	21769	15065
591	21825	15042
592	21870	15010
593	21914	14978
594	21956	14945
595	21995	14909
596	22114	14928
597	22221	14938
598	22262	14903
599	22301	14867
600	22350	14838
601	22390	14802
602	22431	14768
603	22473	14734
604	22516	14700
605	22558	14666
606	22599	14631
607	22640	14597
608	22681	14562
609	22724	14528
610	22763	14492
611	22804	14457
612	22847	14423
613	22894	14392
614	22934	14357
615	22976	14323
616	23017	14287
617	23058	14252
618	23101	14219
619	23147	14186
620	23194	14155
621	23240	14123
622	23285	14090
623	23331	14058
624	23376	14026
625	23429	13997
626	23479	13967
627	23523	13934
628	23566	13900
629	23606	13864
630	23645	13827
631	23687	13792
632	23731	13758
633	23769	13721
634	23809	13685
635	23856	13653
636	23899	13619
637	23949	13588
638	23989	13552
639	24031	13517
640	24073	13482
641	24111	13445
642	24157	13412
643	24198	13376
644	24238	13340
645	24279	13304
646	24334	13276
647	24392	13250
648	24551	13278
649	24779	13342
650	24855	13324
651	24930	13306
652	25006	13288
653	25064	13260
654	25117	13229
655	25169	13198
656	25232	13172
657	25281	13140
658	25328	13106
659	25372	13070
660	25420	13037
661	25498	13019
662	25558	12991
663	25613	12960
664	25658	12925
665	25716	12896
666	25769	12865
667	25826	12835
668	25878	12803
669	25931	12772
670	25993	12744
671	26044	12712
672	26096	12679
673	26160	12653
674	26214	12621
675	26281	12596
676	26328	12561
677	26377	12527
678	26423	12491
679	26474	12458
680	26520	12422
681	26566	12387
682	26613	12352
683	26657	12315
684	26698	12277
685	26740	12239
686	26783	12202
687	26824	12164
688	26874	12130
689	26924	12096
690	26972	12061
691	27020	12026
692	27064	11989
693	27107	11952
694	27149	11914
695	27190	11876
696	27235	11840
697	27275	11801
698	27316	11762
699	27359	11725
700	27399	11686
701	27440	11648
702	27477	11608
703	27513	11568
704	27547	11527
705	27585	11487
706	27626	11449
707	27785	11459
708	27823	11419
709	27865	11381
710	27903	11342
711	27947	11304
712	27990	11266
713	28035	11229
714	28076	11191
715	28117	11152
716	28156	11113
717	28203	11077
718	28240	11037
719	28280	10998
720	28318	10958
721	28355	10918
722	28391	10877
723	28430	10838
724	28466	10797
725	28503	10757
726	28543	10718
727	28579	10678
728	28616	10638
729	28651	10597
730	28680	10554
731	28719	10514
732	28755	10474
733	28796	10435
734	28836	10396
735	28871	10356
736	28909	10316
737	28968	10284
738	29013	10246
739	29063	10211
740	29119	10178
741	29162	10140
742	29196	10099
743	29232	10058
744	29265	10017
745	29299	9976
746	29337	9936
747	29379	9898
748	29416	9857
749	29452	9817
750	29491	9778
751	29530	9738
752	29566	9698
753	29608	9660
754	29644	9619
755	29679	9579
756	29715	9538
757	29760	9501
758	29795	9460
759	29831	9420
760	29868	9380
761	29903	9339
762	29936	9298
763	29972	9258
764	30007	9217
765	30042	9177
766	30083	9138
767	30119	9098
768	30160	9060
769	30196	9019
770	30233	8979
771	30268	8939
772	30306	8899
773	30345	8860
774	30395	8824
775	30443	8787
776	30488	8750
777	30533	8712
778	30569	8672
779	30606	8632
780	30642	8592
781	30680	8552
782	30714	8512
783	30748	8471
784	30784	8431
785	30821	8391
786	30856	8351
787	30901	8313
788	30956	8278
789	30999	8240
790	31040	8201
791	31089	8164
792	31142	8129
793	31204	8095
794	31257	8060
795	31299	8021
796	31334	7981
797	31370	7940
798	31403	7900
799	31444	7861
800	31491	7823
801	31532	7784
802	31573	7745
803	31612	7706
804	31648	7666
805	31684	7626
806	31720	7586
807	31756	7546
808	31794	7506
809	31835	7467
810	31882	7430
811	31934	7393
812	31983	7356
813	32031	7319
814	32087	7283
815	32141	7247
816	32187	7209
817	32236	7172
818	32283	7134
819	32324	7095
820	32359	7055
821	32395	7015
822	32433	6975
823	32470	6935
824	32504	6894
825	32550	6856
826	32596	6818
827	32644	6781
828	32693	6743
829	32740	6705
830	32783	6667
831	32832	6629
832	32870	6589
833	32905	6549
834	32939	6509
835	32975	6468
836	33010	6428
837	33045	6388
838	33080	6347
839	33119	6308
840	33154	6268
841	33190	6228
842	33235	6189
843	33279	6151
844	33326	6113
845	33384	6077
846	33429	6038
847	33474	6000
848	33514	5960
849	33550	5920
850	33587	5880
851	33622	5840
852	33657	5800
853	33693	5760
854	33728	5720
855	33763	5679
856	33802	5640
857	33841	5600
858	33873	5560
859	33906	5519
860	33942	5479
861	33988	5441
862	34040	5403
863	34082	5364
864	34130	5326
865	34172	5287
866	34217	5248
867	34256	5209
868	34298	5170
869	34341	5131
870	34388	5093
871	34423	5052
872	34458	5012
873	34494	4972
874	34529	4932
875	34567	4893
876	34604	4853
877	34640	4813
878	34675	4773
879	34709	4733
880	34748	4693
881	34788	4654
882	34829	4615
883	34868	4575
884	34904	4535
885	34944	4496
886	34983	4456
887	35028	4418
888	35071	4378
889	35113	4339
890	35152	4300
891	35193	4261
892	35239	4222
893	35279	4183
894	35323	4144
895	35365	4104
896	35407	4065
897	35443	4025
898	35477	3985
899	35512	3945
900	35548	3905
901	35582	3865
902	35619	3826
903	35655	3786
904	35691	3746
905	35726	3706
906	35760	3666
907	35793	3626
908	35830	3587
909	35865	3547
910	35902	3507
911	35937	3467
912	35972	3427
913	36007	3387
914	36042	3348
915	36077	3308
916	36111	3268
917	36147	3228
918	36181	3188
919	36215	3149
920	36262	3110
921	36310	3071
922	36359	3033
923	36407	2994
924	36471	2957
925	36542	2920
926	36597	2881
927	36652	2843
928	36690	2804
929	36728	2764
930	36764	2724
931	36800	2684
932	36835	2645
933	36869	2605
934	36922	2566
935	36974	2528
936	37034	2490
937	37094	2451
938	37156	2413
939	37199	2374
940	37241	2335
941	37289	2295
942	37329	2256
943	37389	2218
944	37449	2179
945	37515	2141
946	37572	2102
947	37617	2063
948	37666	2024
949	37716	1985
950	37775	1946
951	37841	1907
952	37892	1868
953	37944	1829
954	37988	1790
955	38033	1750
956	38094	1711
957	38159	1672
958	38214	1633
959	38257	1594
960	38299	1554
961	38343	1514
962	38405	1475
963	38464	1436
964	38531	1397
965	38594	1358
966	38637	1318
967	38692	1279
968	38754	1239
969	38812	1200
970	38868	1160
971	38921	1121
972	38972	1081
973	39036	1042
974	39094	1002
975	39158	962
976	39207	923
977	39250	882
978	39291	842
979	39354	803
980	39411	763
981	39472	723
982	39537	683
983	39595	643
984	39777	605
985	39852	565
986	39903	525
987	39963	485
988	40021	445
989	40076	404
990	40126	364
991	40167	323
992	40210	283
993	40261	243
994	40304	202
995	40349	162
996	40396	121
997	40440	81
998	40483	40
999	40524	0
