iter	MultiClass
592	0.2357319158
593	0.2355819999
594	0.2352941321
595	0.2349933783
596	0.2347651938
597	0.2344317048
598	0.2342673301
599	0.234138669
600	0.2338773338
601	0.233760939
602	0.2335557023
603	0.2334310297
604	0.233126407
605	0.2330123566
606	0.2328542585
607	0.2327617176
608	0.2325807715
609	0.2323908718
610	0.2321263134
611	0.2318912251
612	0.2314508144
613	0.2313106808
614	0.2310611413
615	0.230778131
616	0.2305999295
617	0.2303997746
618	0.2302524468
619	0.2301474472
620	0.2300439975
621	0.2298078869
622	0.2296712754
623	0.2296134239
624	0.2293593371
625	0.2290992876
626	0.2289081438
627	0.2287931933
628	0.2285789031
629	0.2284529191
630	0.2281979604
631	0.2280933714
632	0.2279849788
633	0.227864333
634	0.227758098
635	0.227326956
636	0.2272372172
637	0.2271273141
638	0.2270310693
639	0.2269126302
640	0.226774878
641	0.2266321223
642	0.2265290229
643	0.2262540832
644	0.2259823376
645	0.2256323993
646	0.2254421948
647	0.2251171196
648	0.2249242066
649	0.2247138578
650	0.2243662146
651	0.2241387768
652	0.2239227809
653	0.223657734
654	0.2235343905
655	0.2233566398
656	0.2232016655
657	0.223006945
658	0.2228558506
659	0.2225285337
660	0.2223843874
661	0.2222285141
662	0.222090827
663	0.2218899917
664	0.2217396566
665	0.221485524
666	0.2211592463
667	0.2210845079
668	0.220906066
669	0.2206002003
670	0.2204853081
671	0.220193561
672	0.2199817726
673	0.2197059013
674	0.2194515054
675	0.2191693799
676	0.2189220051
677	0.2187770738
678	0.2186089061
679	0.2184273654
680	0.2182279443
681	0.2180864993
682	0.2178392066
683	0.2176893199
684	0.217593744
685	0.2173536342
686	0.2172311532
687	0.2169220111
688	0.2167679703
689	0.2165111605
690	0.21615631
691	0.2157953564
692	0.2155486979
693	0.2154538902
694	0.2153531008
695	0.2150732091
696	0.2149427748
697	0.2147624155
698	0.2145782948
699	0.2144775271
700	0.2141980675
701	0.2138041114
702	0.2135912467
703	0.2135191414
704	0.2133796485
705	0.2131837824
706	0.212825792
707	0.2126742763
708	0.2124800268
709	0.2123066591
710	0.2121860651
711	0.2120840849
712	0.2118431288
713	0.2117006847
714	0.2114731302
715	0.2112447577
716	0.2111387306
717	0.2109136165
718	0.2107641517
719	0.2104667634
720	0.2102344241
721	0.2101028864
722	0.209879318
723	0.2098108115
724	0.2096344049
725	0.209541484
726	0.2092834117
727	0.209106206
728	0.2088534058
729	0.2087378225
730	0.2086322657
731	0.2085645577
732	0.208468314
733	0.2083717393
734	0.2081272446
735	0.2079202632
736	0.20771729
737	0.2075763731
738	0.2072852049
739	0.2071843381
740	0.2069974765
741	0.206841244
742	0.2066712321
743	0.2064423645
744	0.20627248
745	0.206001896
746	0.205821391
747	0.205601072
748	0.2053912731
749	0.2052756263
750	0.2051402283
751	0.2050239126
752	0.2047258196
753	0.2045519813
754	0.2043548608
755	0.2041564773
756	0.2039184007
757	0.2036371717
758	0.2033444558
759	0.2032405167
760	0.2031821879
761	0.2030139179
762	0.202835007
763	0.2026788635
764	0.2025415925
765	0.2024767316
766	0.2022132888
767	0.2020001751
768	0.2018409847
769	0.2017155035
770	0.2015189018
771	0.2014056987
772	0.2012835253
773	0.2012226703
774	0.2011237216
775	0.2010036824
776	0.2009181078
777	0.2007837951
778	0.2006158948
779	0.2004307873
780	0.2003446257
781	0.2002259903
782	0.2000559231
783	0.1999507835
784	0.1996892125
785	0.1995950061
786	0.1994879202
787	0.1992904096
788	0.1992170966
789	0.199065815
790	0.1988231813
791	0.1986341395
792	0.1984187512
793	0.1982211199
794	0.1981254822
795	0.197982808
796	0.1975802027
797	0.1973432861
798	0.1971042997
799	0.1969686544
800	0.1967850865
801	0.1966471893
802	0.1965065912
803	0.1963531548
804	0.196263557
805	0.1961352852
806	0.1959050215
807	0.1957201389
808	0.1955537497
809	0.1954464997
810	0.1953220204
811	0.1951582869
812	0.1950344246
813	0.194899716
814	0.1944714882
815	0.1942241138
816	0.1940720122
817	0.1938915633
818	0.1937269517
819	0.1935273387
820	0.1934479627
821	0.193310778
822	0.1932705601
823	0.1931654878
824	0.1930429801
825	0.1928370217
826	0.192681586
827	0.1925413114
828	0.1924093917
829	0.1922228738
830	0.1920165449
831	0.1917556383
832	0.1916620716
833	0.1914977436
834	0.1913578027
835	0.19107911
836	0.1908990379
837	0.190661042
838	0.190599229
839	0.1904366439
840	0.1903076087
841	0.1901122623
842	0.1899681641
843	0.1898486898
844	0.1896563162
845	0.1895112272
846	0.1893678167
847	0.1892512128
848	0.1890140382
849	0.1888552117
850	0.1886509769
851	0.1884789177
852	0.188365418
853	0.1881239794
854	0.1880141057
855	0.1878519428
856	0.187801192
857	0.1877135931
858	0.1876631135
859	0.1875463116
860	0.1874578158
861	0.1873681705
862	0.1871913872
863	0.1870691283
864	0.1869494182
865	0.1868788237
866	0.1867485626
867	0.1865637266
868	0.1864882467
869	0.1864038927
870	0.1862590603
871	0.1860945698
872	0.1859129068
873	0.1858340296
874	0.1856184565
875	0.185545769
876	0.1853566062
877	0.1852199208
878	0.1851141474
879	0.1850216872
880	0.1848917243
881	0.1847750199
882	0.184675981
883	0.1845042043
884	0.1843570249
885	0.1842283523
886	0.184045193
887	0.1839093867
888	0.1837130252
889	0.1836530039
890	0.1834959618
891	0.1832701432
892	0.183196667
893	0.1830192857
894	0.1828477891
895	0.1826676872
896	0.1825502688
897	0.1824218522
898	0.1822848199
899	0.1820992313
900	0.1820037785
901	0.1819038538
902	0.1817905353
903	0.1815671892
904	0.1814541029
905	0.1812899522
906	0.1811308172
907	0.1808831235
908	0.1807708001
909	0.1806785931
910	0.180557354
911	0.180427056
912	0.1802614656
913	0.1800356825
914	0.179892868
915	0.1796714538
916	0.1794486622
917	0.1792959386
918	0.1790968895
919	0.1789750497
920	0.1788191169
921	0.1786881348
922	0.1785774002
923	0.1784262559
924	0.1781720978
925	0.1779678053
926	0.1777910223
927	0.1776728827
928	0.1775028027
929	0.1773775506
930	0.177278578
931	0.1770898684
932	0.1769981105
933	0.1768505896
934	0.176727609
935	0.1766305996
936	0.1765669071
937	0.1763827783
938	0.1762597313
939	0.176046545
940	0.1759495926
941	0.1758339314
942	0.1757610679
943	0.1756624015
944	0.175474496
945	0.1753459829
946	0.1752006133
947	0.1750314646
948	0.1749036672
949	0.1748409689
950	0.1747350243
951	0.1745958708
952	0.1744627133
953	0.1742584701
954	0.1740768504
955	0.1740280749
956	0.1737470847
957	0.1736423888
958	0.1735348766
959	0.1734816308
960	0.1733239247
961	0.1731272696
962	0.1730293576
963	0.1728070371
964	0.1726439629
965	0.1725317647
966	0.1724820073
967	0.1723803836
968	0.1722980575
969	0.17216945
970	0.1721262528
971	0.1719965338
972	0.1717104253
973	0.1716176886
974	0.171501425
975	0.1714598367
976	0.1713020329
977	0.1711836507
978	0.1709691423
979	0.1708801115
980	0.1707560561
981	0.1706989168
982	0.1705757455
983	0.1705213152
984	0.170218457
985	0.1700721749
986	0.1699276437
987	0.1697860188
988	0.1695535867
989	0.1694617673
990	0.1692546526
991	0.1691174344
992	0.1690158441
993	0.1688326024
994	0.1687175884
995	0.1685530306
996	0.1683920092
997	0.1682849419
998	0.1681995353
999	0.1680932365
